Player,DraftKings,BetMGM,FanDuel,BetOnline.ag,BetRivers,Bovada
Tre Tucker,370,N/A,N/A,350,N/A,N/A
Michael Mayer,425,N/A,N/A,400,N/A,N/A
KhaDarel Hodge,850,N/A,N/A,800,N/A,N/A
Ramel Keyton,1300,N/A,N/A,1300,N/A,N/A
Dylan Laube,700,N/A,N/A,700,N/A,N/A
Kyle Pitts,265,N/A,N/A,260,N/A,N/A
Desmond Ridder,400,N/A,N/A,400,N/A,N/A
Ameer Abdullah,400,N/A,N/A,400,N/A,N/A
No Touchdown,N/A,10000,N/A,N/A,N/A,N/A
Patrick Ricard,N/A,2000,N/A,N/A,N/A,N/A
San Francisco 49ers Defense,N/A,N/A,700,N/A,N/A,N/A
Los Angeles Rams Defense,N/A,N/A,800,N/A,N/A,N/A
Jalen Coker,N/A,N/A,430,N/A,N/A,N/A
Dallas Cowboys Defense,N/A,N/A,850,N/A,N/A,N/A
Carolina Panthers Defense,N/A,N/A,850,N/A,N/A,N/A
Princeton Fant,N/A,N/A,3700,N/A,N/A,N/A
Cincinnati Bengals Defense,N/A,N/A,650,N/A,N/A,N/A
Tennessee Titans Defense,N/A,N/A,850,N/A,N/A,N/A
David Martin-Robinson,N/A,N/A,1200,N/A,N/A,N/A
Kansas City Chiefs Defense,N/A,N/A,700,N/A,N/A,N/A
Cleveland Browns Defense,N/A,N/A,1200,N/A,N/A,N/A
Baylor Cupp,N/A,N/A,2100,N/A,N/A,N/A
Houston Texans Defense,N/A,N/A,650,N/A,N/A,N/A
Miami Dolphins Defense,N/A,N/A,800,N/A,N/A,N/A
New York Jets Defense,N/A,N/A,800,N/A,N/A,N/A
Jacksonville Jaguars Defense,N/A,N/A,850,N/A,N/A,N/A
Kenny Yeboah,N/A,N/A,2600,N/A,N/A,N/A
Arizona Cardinals Defense,N/A,N/A,600,N/A,N/A,N/A
New England Patriots Defense,N/A,N/A,800,N/A,N/A,N/A
Detroit Lions Defense,N/A,N/A,550,N/A,N/A,N/A
Buffalo Bills Defense,N/A,N/A,650,N/A,N/A,N/A
Denver Broncos Defense,N/A,N/A,650,N/A,N/A,N/A
Indianapolis Colts Defense,N/A,N/A,900,N/A,N/A,N/A
Philadelphia Eagles Defense,N/A,N/A,700,N/A,N/A,N/A
Pittsburgh Steelers Defense,N/A,N/A,1000,N/A,N/A,N/A
Khari Blasingame,N/A,N/A,4500,N/A,5000,N/A
Kenneth Walker III,N/A,N/A,-135,N/A,N/A,N/A
Romeo Doubs,N/A,N/A,200,N/A,N/A,N/A
Green Bay Packers Defense,N/A,N/A,700,N/A,N/A,N/A
Seattle Seahawks Defense,N/A,N/A,800,N/A,N/A,N/A
George Holani,N/A,N/A,2300,N/A,N/A,N/A
Cody Schrader,N/A,N/A,N/A,1700,1400,N/A
Drew Lock,N/A,N/A,N/A,750,N/A,N/A
