,Unnamed: 0,Player,TD_Likelihood,Model_Odds,Favor,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
22,22,Mack Hollins,0.13,669.2307692307692,1,255.0,280.0,250.0,270.0,250.0,255.0
78,78,Brock Wright,0.13,669.2307692307692,1,,,,,,
184,184,Britain Covey,0.12,733.3333333333334,1,950.0,,900.0,950.0,900.0,900.0
190,190,Calvin Austin III,0.12,733.3333333333334,1,265.0,360.0,260.0,,310.0,265.0
0,0,Greg Dortch,0.12,733.3333333333334,1,750.0,,750.0,750.0,750.0,750.0
2,2,Elijah Higgins,0.12,733.3333333333334,1,850.0,,800.0,850.0,750.0,850.0
13,13,Charlie Woerner,0.12,733.3333333333334,1,1500.0,1200.0,1400.0,1050.0,1800.0,1500.0
56,56,Jalen Brooks,0.12,733.3333333333334,1,700.0,1200.0,700.0,1500.0,,700.0
89,89,Xavier Hutchinson,0.12,733.3333333333334,1,,,,,,
142,142,Julian Hill,0.11,809.0909090909091,1,2200.0,1500.0,1900.0,,2200.0,2200.0
171,171,Jalin Hyatt,0.11,809.0909090909091,1,700.0,700.0,700.0,1500.0,800.0,1400.0
217,217,Ryan Miller,0.11,809.0909090909091,1,1100.0,,1100.0,,,1100.0
45,45,Andrei Iosivas,0.11,809.0909090909091,1,390.0,470.0,350.0,300.0,,390.0
202,202,Ricky Pearsall,0.11,809.0909090909091,1,390.0,490.0,350.0,,,370.0
197,197,Darnell Washington,0.11,809.0909090909091,1,500.0,460.0,500.0,,500.0,500.0
69,69,Lucas Krull,0.11,809.0909090909091,1,,,,,,
100,100,Drew Ogletree,0.11,809.0909090909091,1,,,,,,
235,235,Olamide Zaccheaus,0.11,809.0909090909091,1,,,,,,
105,105,Luke Farrell,0.1,900.0,1,1000.0,2100.0,1000.0,2200.0,1500.0,1000.0
124,124,Derius Davis,0.1,900.0,1,1100.0,800.0,1100.0,900.0,1200.0,1100.0
154,154,Josh Oliver,0.1,900.0,1,,500.0,,575.0,650.0,
205,205,AJ Barner,0.1,900.0,1,550.0,,550.0,800.0,600.0,550.0
166,166,Foster Moreau,0.1,900.0,1,500.0,390.0,500.0,430.0,550.0,550.0
44,44,Tanner Hudson,0.1,900.0,1,700.0,1300.0,700.0,510.0,,700.0
185,185,Jahan Dotson,0.1,900.0,1,450.0,600.0,450.0,650.0,375.0,475.0
92,92,Cade Stover,0.09,1011.1111111111112,1,,,,,,
7,7,KhaDarel Hodge,0.09,1011.1111111111112,1,1200.0,1300.0,1100.0,1300.0,1500.0,1200.0
163,163,Ja'Lynn Polk,0.09,1011.1111111111112,1,,,,,,
79,79,Shane Zylstra,0.09,1011.1111111111112,1,,,,,,
137,137,Colby Parkinson,0.09,1011.1111111111112,1,425.0,650.0,400.0,550.0,650.0,425.0
90,90,John Metchie III,0.08,1150.0,1,,,,,,
219,219,Trey Palmer,0.08,1150.0,1,700.0,,700.0,,,650.0
25,25,Quintin Morris,0.08,1150.0,1,950.0,1600.0,900.0,1150.0,900.0,1000.0
198,198,Chris Conley,0.08,1150.0,1,1600.0,2000.0,1400.0,,,1500.0
132,132,Davis Allen,0.08,1150.0,1,500.0,800.0,500.0,750.0,750.0,500.0
66,66,Nate Adkins,0.08,1150.0,1,,,,,,
196,196,Ben Skowronek,0.08,1150.0,1,1200.0,1600.0,1100.0,,1500.0,1200.0
115,115,JuJu Smith-Schuster,0.08,1150.0,1,500.0,800.0,500.0,500.0,500.0,500.0
97,97,Kylen Granson,0.07,1328.5714285714284,1,,,,,,
121,121,Michael Mayer,0.07,1328.5714285714284,1,600.0,,600.0,,,600.0
68,68,Lil'Jordan Humphrey,0.07,1328.5714285714284,1,,,,,,
158,158,Kayshon Boutte,0.07,1328.5714285714284,1,,,,,,
48,48,Jordan Akins,0.07,1328.5714285714284,1,900.0,750.0,900.0,,1000.0,900.0
232,232,Luke McCaffrey,0.07,1328.5714285714284,1,,,,,,
24,24,Dawson Knox,0.07,1328.5714285714284,1,200.0,210.0,200.0,215.0,220.0,200.0
12,12,Casey Washington,0.06,1566.6666666666667,1,1800.0,2700.0,1700.0,2000.0,2500.0,1800.0
126,126,Tucker Fisk,0.06,1566.6666666666667,1,1200.0,1100.0,1100.0,1500.0,1300.0,1200.0
215,215,Rakim Jarrett,0.06,1566.6666666666667,1,700.0,,700.0,,,700.0
116,116,Justin Watson,0.06,1566.6666666666667,1,750.0,800.0,750.0,750.0,775.0,750.0
225,225,Nick Vannett,0.06,1566.6666666666667,1,750.0,1100.0,750.0,1300.0,1400.0,750.0
140,140,Odell Beckham Jr.,0.06,1566.6666666666667,1,850.0,850.0,800.0,,850.0,850.0
179,179,Jeremy Ruckert,0.06,1566.6666666666667,1,1000.0,1200.0,1000.0,,1200.0,1000.0
145,145,Durham Smythe,0.06,1566.6666666666667,1,2000.0,1900.0,1900.0,,2500.0,2000.0
169,169,Cedrick Wilson Jr.,0.06,1566.6666666666667,1,650.0,750.0,650.0,420.0,700.0,650.0
98,98,Will Mallory,0.06,1566.6666666666667,1,,,,,,
40,40,Jermaine Burton,0.05,1900.0,1,750.0,1100.0,750.0,750.0,,750.0
213,213,Payne Durham,0.05,1900.0,1,1000.0,,1000.0,,,1000.0
52,52,Jamari Thrash,0.05,1900.0,1,550.0,550.0,550.0,,550.0,550.0
223,223,Bryce Oliver,0.05,1900.0,1,,2600.0,,1900.0,,
59,59,Ryan Flournoy,0.05,1900.0,1,1700.0,1200.0,1700.0,1800.0,,1700.0
155,155,Brandon Powell,0.05,1900.0,1,1200.0,1900.0,1100.0,1500.0,1600.0,1200.0
81,81,Malik Heath,0.04,2400.0,1,,,,,,
165,165,Juwan Johnson,0.04,2400.0,1,330.0,310.0,325.0,295.0,350.0,340.0
134,134,Tyler Johnson,0.04,2400.0,1,1000.0,1000.0,1000.0,950.0,1000.0,1000.0
106,106,Tim Jones,0.04,2400.0,1,1300.0,1700.0,1300.0,1000.0,1400.0,1300.0
170,170,Greg Dulcich,0.04,2400.0,1,900.0,500.0,900.0,850.0,1300.0,
178,178,Xavier Gipson,0.04,2400.0,1,650.0,1200.0,650.0,,900.0,650.0
207,207,Pharaoh Brown,0.04,2400.0,1,1400.0,,1400.0,2000.0,1500.0,1400.0
33,33,Deven Thompkins,0.04,2400.0,1,1700.0,2500.0,1700.0,900.0,1800.0,1700.0
47,47,Isaiah Williams,0.04,2400.0,1,1800.0,2100.0,1700.0,1200.0,,
141,141,Dee Eskridge,0.04,2400.0,1,2200.0,,1900.0,,2500.0,2200.0
212,212,Cody White,0.04,2400.0,1,,,,2000.0,,
84,84,Ben Sims,0.03,3233.333333333333,1,,,,,,
227,227,Josh Whyle,0.03,3233.333333333333,1,750.0,1100.0,750.0,1600.0,1000.0,750.0
167,167,Mason Tipton,0.03,3233.333333333333,1,,1200.0,,1300.0,1100.0,
119,119,Harrison Bryant,0.03,3233.333333333333,1,,,,,,
120,120,Ramel Keyton,0.03,3233.333333333333,1,1000.0,,1000.0,,,1100.0
131,131,Stone Smartt,0.03,3233.333333333333,1,1900.0,1900.0,1900.0,2000.0,2000.0,1900.0
187,187,Ainias Smith,0.03,3233.333333333333,1,950.0,1800.0,900.0,1050.0,900.0,1000.0
206,206,Jake Bobo,0.03,3233.333333333333,1,900.0,,900.0,1150.0,1000.0,900.0
193,193,Scotty Miller,0.03,3233.333333333333,1,,,,,,
67,67,Troy Franklin,0.03,3233.333333333333,1,,,,,,
156,156,Trent Sherfield Sr.,0.03,3233.333333333333,1,,,,,,
228,228,John Bates,0.03,3233.333333333333,1,,,,,,
112,112,Mecole Hardman,0.02,4900.0,1,1100.0,1000.0,1100.0,1000.0,1100.0,1100.0
234,234,Ben Sinnott,0.02,4900.0,1,,,,,,
93,93,Robert Woods,0.02,4900.0,1,,,,,,
14,14,Nelson Agholor,0.02,4900.0,1,,,,,,
130,130,Jalen Reagor,0.02,4900.0,1,900.0,800.0,900.0,800.0,1000.0,900.0
204,204,Eric Saubert,0.02,4900.0,1,1500.0,1600.0,1400.0,,,1500.0
3,3,Zay Jones,0.01,9900.0,1,750.0,,750.0,1200.0,750.0,750.0
5,5,Tip Reiman,0.01,9900.0,1,1400.0,,1400.0,1700.0,1500.0,1400.0
146,146,Jack Stoll,0.01,9900.0,1,2200.0,,1900.0,,2500.0,2200.0
96,96,Ashton Dulin,0.01,9900.0,1,,,,,,
199,199,Jacob Cowing,0.01,9900.0,1,1900.0,2400.0,1900.0,,,1900.0
36,36,DeAndre Carter,0.01,9900.0,1,750.0,550.0,750.0,,,750.0
181,181,Kenny Yeboah,0.01,9900.0,1,1500.0,2500.0,1400.0,,1800.0,1500.0
72,72,Adam Trautman,0.01,9900.0,1,,,,,,
189,189,Johnny Wilson,0.01,9900.0,1,650.0,,650.0,750.0,900.0,650.0
