player_id,season,name,pos,team,draft_round,is_te,targets_pg,yards_pg,receptions_pg,roll3_targets,roll3_yards,roll3_receptions,lag_targets,lag_yards,target_share,roll3_long_rec,roll3_target_std,tds_last3,td_streak,td_rate_eb,td_rate_eb_std,lag_snap_pct,roll3_snap_pct,roll3_rz_targets,rz_target_share,rz_td_rate_eb,join_season
4249417,2025,Jalen Tolbert,WR,DAL,3,0,3.3,20.3,1.8,3.6666666666666665,26.0,2.0,8.0,31.0,0.06534653465346535,16.333333333333332,3.785938897200183,1.0,0,0.04724888423536876,0.010725273348966597,0.62,0.3499999999999999,0.0,0.0,0.2476481750478776,2026
4250764,2022,Stone Smartt,TE,LAC,0,1,2.0,4.5,1.5,2.0,4.5,1.5,3.0,3.0,0.02247191011235955,5.5,1.4142135623730951,0.0,0,0.04827345279337337,0.011260355710293303,0.21,0.2033333333333333,0.0,0.0,0.2476481750478776,2023
4250764,2023,Stone Smartt,TE,LAC,0,1,1.6363636363636365,12.818181818181818,0.8181818181818182,2.0,20.333333333333332,2.0,2.0,23.0,0.0989010989010989,15.666666666666666,1.0,0.0,0,0.04913712740068908,0.011142268358180961,0.29,0.2866666666666667,0.0,0.0,0.2476481750478776,2024
4250764,2024,Stone Smartt,TE,LAC,0,1,2.8333333333333335,30.833333333333332,2.3333333333333335,4.0,47.0,3.6666666666666665,3.0,37.0,0.06538461538461539,24.666666666666668,1.732050807568877,0.0,0,0.04659702275453224,0.010879398604512272,0.6,0.5466666666666667,0.0,0.0,0.2476481750478776,2025
4250764,2025,Stone Smartt,TE,NYJ,0,1,3.0,17.0,2.5,3.0,17.0,2.5,5.0,34.0,0.031413612565445025,8.5,2.8284271247461903,0.0,0,0.04800773226936553,0.011200021492496704,0.3,0.17,0.0,0.0,0.2476481750478776,2026
4250945,2023,Colton Dowell,WR,TEN,7,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.004329004329004329,0.0,2.0,0.0,0,0.04867759506767144,0.011352084469346596,0.05,0.04,0.0,0.0,0.2476481750478776,2024
4257188,2023,Charlie Jones,WR,CIN,4,0,2.0,5.0,1.3333333333333333,2.0,5.0,1.3333333333333333,1.0,-1.0,0.031914893617021274,4.0,1.0,0.0,0,0.04800773226936553,0.011200021492496704,0.0,0.0566666666666666,0.0,0.0,0.2476481750478776,2024
4257188,2024,Charlie Jones,WR,CIN,4,0,9.0,64.0,7.0,2.3333333333333335,19.333333333333332,2.0,,,0.04017857142857143,13.666666666666666,1.1547005383792517,0.0,0,0.047614591521889744,0.011110721557144545,,,0.0,0.0,0.2476481750478776,2025
4257188,2025,Charlie Jones,WR,CIN,4,0,1.0,5.0,1.0,1.0,5.0,1.0,,,0.006060606060606061,5.0,,0.0,0,0.04867759506767144,0.011352084469346596,0.0,0.0,0.0,0.0,0.2476481750478776,2026
4258173,2022,Nico Collins,WR,HOU,3,0,6.222222222222222,49.55555555555556,3.7777777777777777,8.666666666666666,47.0,5.333333333333333,9.0,44.0,0.4057971014492754,15.666666666666666,1.5275252316519468,1.0,0,0.04461975510541689,0.01014315981416277,0.75,0.7966666666666667,5.0,0.1428571428571428,0.2459566035143316,2023
4258173,2023,Nico Collins,WR,HOU,3,0,7.142857142857143,78.71428571428571,5.071428571428571,5.0,37.0,4.0,8.0,80.0,0.4424778761061947,13.666666666666666,3.6055512754639896,1.0,0,0.0534462964753142,0.01050600344844648,0.62,0.3799999999999999,0.0,0.0,0.2476481750478776,2024
4258173,2024,Nico Collins,WR,HOU,3,0,8.545454545454545,88.0,5.7272727272727275,7.333333333333333,45.333333333333336,4.666666666666667,6.0,59.0,0.3700787401574803,22.666666666666668,2.3094010767585025,2.0,0,0.051941173591734675,0.010433763930813435,0.71,0.7933333333333333,4.0,0.1935483870967742,0.2511545782144829,2025
4258173,2025,Nico Collins,WR,HOU,3,0,8.285714285714286,75.71428571428571,4.857142857142857,7.0,88.33333333333333,3.6666666666666665,9.0,59.0,0.2951653944020356,44.666666666666664,2.6457513110645907,2.0,0,0.04952704056982944,0.009961991788311055,0.8,0.7800000000000001,0.0,0.0,0.2476481750478776,2026
4258595,2022,Cole Kmet,TE,CHI,2,1,4.0,30.4375,2.875,4.666666666666667,26.333333333333332,3.6666666666666665,3.0,27.0,0.6464646464646465,9.333333333333334,1.5275252316519468,1.0,1,0.055639457787615774,0.011153963861863661,0.88,0.9433333333333332,3.0,0.2045454545454545,0.2571959799446194,2023
4258595,2023,Cole Kmet,TE,CHI,2,1,6.142857142857143,48.42857142857143,5.0,6.0,65.33333333333333,4.666666666666667,5.0,107.0,0.6515151515151515,34.0,1.0000000000000029,1.0,0,0.05287844375024118,0.010616575892620038,0.18,0.49,3.0,0.2166666666666666,0.25369958347570315,2024
