,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
Jack Stoll,2200.0,N/A,1900.0,N/A,2500.0,2200.0
Durham Smythe,2000.0,2000.0,1900.0,N/A,2500.0,2000.0
Dee Eskridge,2200.0,N/A,1900.0,N/A,2500.0,2200.0
Julian Hill,2200.0,1600.0,1900.0,N/A,2200.0,2200.0
Alvin Kamara,-190.0,-200.0,-200.0,-250.0,-190.0,-190.0
Tyrone Tracy Jr.,115.0,110.0,110.0,-121.0,140.0,115.0
Malik Nabers,205.0,210.0,200.0,155.0,185.0,205.0
Marquez Valdes-Scantling,235.0,270.0,230.0,220.0,225.0,235.0
Kendre Miller,295.0,490.0,N/A,310.0,450.0,295.0
Darius Slayton,280.0,490.0,280.0,320.0,400.0,280.0
Wan'Dale Robinson,310.0,330.0,300.0,320.0,350.0,310.0
Devin Singletary,340.0,340.0,325.0,300.0,375.0,340.0
Kevin Austin,360.0,360.0,N/A,340.0,375.0,360.0
Juwan Johnson,340.0,320.0,325.0,295.0,350.0,340.0
Drew Lock,425.0,550.0,400.0,410.0,700.0,425.0
New York Giants D/ST,450.0,N/A,N/A,N/A,650.0,450.0
New Orleans Saints D/ST,400.0,N/A,N/A,N/A,600.0,400.0
Dante Pettis,500.0,1200.0,N/A,1050.0,1000.0,500.0
Foster Moreau,500.0,400.0,500.0,425.0,550.0,500.0
Jamaal Williams,600.0,490.0,600.0,340.0,600.0,600.0
Daniel Bellinger,650.0,850.0,N/A,700.0,1100.0,650.0
Cedrick Wilson Jr.,650.0,700.0,650.0,420.0,700.0,650.0
Jordan Mims,700.0,1000.0,700.0,1100.0,900.0,700.0
Bub Means,700.0,360.0,N/A,425.0,N/A,700.0
Jalin Hyatt,650.0,950.0,650.0,1400.0,800.0,650.0
Greg Dulcich,900.0,850.0,900.0,800.0,1300.0,N/A
Derek Carr,900.0,1000.0,900.0,950.0,1100.0,900.0
Dallin Holker,950.0,1200.0,900.0,1800.0,1200.0,1000.0
Adam Prentice,1100.0,1700.0,1100.0,1300.0,1300.0,1100.0
Ihmir Smith-Marsette,1400.0,2500.0,1400.0,2000.0,1800.0,1400.0
Bryce Ford-Wheaton,1500.0,2500.0,N/A,2200.0,2800.0,1500.0
Eric Gray,1800.0,2200.0,1700.0,1600.0,2000.0,1800.0
